Class,Departure,Destination,Distance,Min reward,Max reward
ServiceFlightContract,Green Peaks,Round Range,262.57,7251,8181
CharterFlightContract,Old KSC,Green Coast,434.2,8210,14522
CharterFlightContract,Coaler Crater,Kerman Lake,419.94,18539,26233
BusinessFlightContract,Polar Research Centre,KKVLA,770.07,18000,20700
CharterFlightContract,Lodnie Isles,Lushlands,313.67,17264,23523
ServiceFlightContract,Sea's End,Goldpool,699.49,16489,18543
ServiceFlightContract,Dundard's Edge,Polar Research Centre,423.18,10463,11779
BusinessFlightContract,Kerman Lake,Sea's End,1461.23,22000,25299
CommercialFlightContract,Round Range,Lushlands,767.1,58092,105721
CommercialFlightContract,Green Coast,Lake Dermal,670.12,23799,61364
ServiceFlightContract,Kerbin's Heart Science Centre,Lodnie Isles,407.98,10159,11438
CommercialFlightContract,Green Coast,Sanctuary Mouth,1436.65,45875,125638
CommercialFlightContract,South Hope,Round Range,843.86,24303,70758
CommercialFlightContract,Sanctuary Mouth,Lodnie Isles,506.48,41586,73518
CharterFlightContract,Valentina's Landing,South Point,464.93,20579,29105
ServiceFlightContract,Black Krags,Kerbal Space Centre,181.05,3620,4055
CommercialFlightContract,South Hope,Valentina's Landing,673.39,46393,87513
BusinessFlightContract,Guardian's Basin,Jeb's Island Resort,389.54,7000,8049
CharterFlightContract,South Point,Round Range,693.34,11320,21130
TouristGroupFlightContract,Ben Bay,Guardian's Basin,330.76,8750,10407
CommercialFlightContract,Sanctuary Mouth,Lake Dermal,767.66,35608,79893
ServiceFlightContract,South Pole Station,Sea's End,561.47,13729,15451
ServiceFlightContract,Valentina's Landing,Round Range,519.49,12389,13936
ServiceFlightContract,Donby Hole,Kerbin's Heart Science Centre,484.47,13689,15452
CommercialFlightContract,Valentina's Landing,Green Coast,662.94,46092,86637
ServiceFlightContract,KKVLA,Arakebo,496.76,13935,15727
CharterFlightContract,Lake Dermal,Coaler Crater,240.81,14889,19940
ServiceFlightContract,Kerbin's Bottom,The Shelf,177.83,8056,9158
ServiceFlightContract,Dull Spot,Old KSC,488.18,10763,12085
CommercialFlightContract,Lushlands,South Hope,550.93,38366,72070
ServiceFlightContract,Deadkerbal Pit,Hanbert Cape,413.01,9760,10976
ServiceFlightContract,The Shelf,South Pole Station,350.0,7999,8989
TouristGroupFlightContract,Kerbal Space Centre,Jeb's Island Resort,147.66,6500,7690
CommercialFlightContract,Round Range,Green Coast,830.99,41932,90378
ServiceFlightContract,Hanbert Cape,The Shelf,369.36,11387,12873
CommercialFlightContract,Lodnie Isles,Round Range,930.88,40309,93579
CommercialFlightContract,South Hope,Lodnie Isles,833.03,41991,90549
CharterFlightContract,Kerman Lake,Sanctuary Mouth,268.32,3219,6842
CharterFlightContract,Green Coast,South Point,199.17,11390,15428
ServiceFlightContract,Polar Research Centre,Sanctuary Mouth,609.74,14694,16533
ServiceFlightContract,Sandy Island,Kerbin's Heart Science Centre,373.08,10461,11807
ServiceFlightContract,Coaler Crater,Black Krags,274.02,7480,8438
CommercialFlightContract,Lake Dermal,Round Range,1441.01,59500,141528
CommercialFlightContract,Lushlands,Sanctuary Mouth,709.11,42922,85333
TouristGroupFlightContract,Round Range,Everkrest,299.15,12000,14188
ServiceFlightContract,Kerbal Space Centre,Dundard's Edge,705.7,18114,20407
BusinessFlightContract,Jeb's Island Resort,Ben Bay,69.58,6500,7474
BusinessFlightContract,Dundard's Edge,South Hope,1658.23,35500,40825
BusinessFlightContract,Kerbal Space Centre,Old KSC,765.09,17000,19550
ServiceFlightContract,Kerbin's Bottom,Valentina's Landing,284.44,10188,11546
ServiceFlightContract,Mount Snowey,Deadkerbal Pit,495.11,11902,13390
BusinessFlightContract,Arakebo,Green Coast,124.3,8500,9775
CommercialFlightContract,Sanctuary Mouth,South Hope,933.04,40371,93760
ServiceFlightContract,South Point,Kerbin's Bottom,343.88,10877,12302
